k_factor,home_advantage,pyth_exponent,elo_weight,accuracy,correct,total
20,50,2.2,0.7,54.52538631346579,247,453
20,50,2.37,0.4,54.52538631346579,247,453
20,75,1.8,0.6,54.52538631346579,247,453
20,75,2.5,0.6,54.52538631346579,247,453
20,100,1.8,0.4,54.52538631346579,247,453
20,100,2.0,0.4,54.52538631346579,247,453
20,125,1.8,0.4,54.52538631346579,247,453
25,50,2.0,0.8,54.52538631346579,247,453
25,50,2.2,0.4,54.52538631346579,247,453
25,50,2.37,0.4,54.52538631346579,247,453
25,50,2.5,0.4,54.52538631346579,247,453
25,50,2.5,0.7,54.52538631346579,247,453
25,75,2.0,0.4,54.52538631346579,247,453
25,75,2.2,0.6,54.52538631346579,247,453
25,75,2.37,0.6,54.52538631346579,247,453
25,75,2.37,0.7,54.52538631346579,247,453
25,75,2.5,0.7,54.52538631346579,247,453
25,100,1.8,0.4,54.52538631346579,247,453
25,100,1.8,0.5,54.52538631346579,247,453
25,100,2.2,0.5,54.52538631346579,247,453
25,100,2.37,0.4,54.52538631346579,247,453
25,100,2.5,0.4,54.52538631346579,247,453
25,125,1.8,0.4,54.52538631346579,247,453
25,125,2.0,0.4,54.52538631346579,247,453
25,125,2.37,0.4,54.52538631346579,247,453
30,50,2.2,0.7,54.52538631346579,247,453
30,50,2.2,0.8,54.52538631346579,247,453
30,50,2.37,0.7,54.52538631346579,247,453
30,50,2.37,0.8,54.52538631346579,247,453
30,50,2.5,0.8,54.52538631346579,247,453
30,75,1.8,0.4,54.52538631346579,247,453
35,50,2.0,0.7,54.52538631346579,247,453
35,50,2.2,0.7,54.52538631346579,247,453
35,50,2.5,0.7,54.52538631346579,247,453
35,75,2.2,0.7,54.52538631346579,247,453
35,75,2.37,0.7,54.52538631346579,247,453
35,75,2.5,0.5,54.52538631346579,247,453
35,75,2.5,0.6,54.52538631346579,247,453
35,100,2.2,0.5,54.52538631346579,247,453
35,100,2.37,0.5,54.52538631346579,247,453
35,125,2.2,0.4,54.52538631346579,247,453
35,150,1.8,0.4,54.52538631346579,247,453
35,150,2.2,0.4,54.52538631346579,247,453
35,150,2.5,0.4,54.52538631346579,247,453
40,50,1.8,0.6,54.52538631346579,247,453
40,50,1.8,0.7,54.52538631346579,247,453
40,50,2.0,0.6,54.52538631346579,247,453
40,50,2.0,0.7,54.52538631346579,247,453
40,50,2.2,0.7,54.52538631346579,247,453
40,50,2.2,0.8,54.52538631346579,247,453
40,50,2.37,0.6,54.52538631346579,247,453
40,50,2.37,0.7,54.52538631346579,247,453
40,50,2.37,0.8,54.52538631346579,247,453
40,50,2.5,0.8,54.52538631346579,247,453
40,75,1.8,0.5,54.52538631346579,247,453
40,75,2.2,0.6,54.52538631346579,247,453
40,75,2.37,0.6,54.52538631346579,247,453
40,75,2.5,0.6,54.52538631346579,247,453
40,100,2.5,0.4,54.52538631346579,247,453
15,50,1.8,0.7,54.3046357615894,246,453
15,50,2.0,0.4,54.3046357615894,246,453
15,50,2.2,0.5,54.3046357615894,246,453
15,50,2.37,0.5,54.3046357615894,246,453
15,50,2.5,0.5,54.3046357615894,246,453
15,50,2.5,0.6,54.3046357615894,246,453
15,75,1.8,0.5,54.3046357615894,246,453
15,75,2.0,0.6,54.3046357615894,246,453
15,75,2.37,0.4,54.3046357615894,246,453
15,75,2.5,0.4,54.3046357615894,246,453
15,100,1.8,0.4,54.3046357615894,246,453
15,125,1.8,0.4,54.3046357615894,246,453
15,125,2.0,0.4,54.3046357615894,246,453
20,50,1.8,0.6,54.3046357615894,246,453
20,50,1.8,0.7,54.3046357615894,246,453
20,50,2.0,0.4,54.3046357615894,246,453
20,50,2.0,0.5,54.3046357615894,246,453
20,50,2.0,0.6,54.3046357615894,246,453
20,50,2.0,0.8,54.3046357615894,246,453
20,50,2.2,0.5,54.3046357615894,246,453
20,50,2.2,0.6,54.3046357615894,246,453
20,50,2.37,0.5,54.3046357615894,246,453
20,50,2.37,0.6,54.3046357615894,246,453
20,50,2.5,0.5,54.3046357615894,246,453
20,50,2.5,0.6,54.3046357615894,246,453
20,50,2.5,0.8,54.3046357615894,246,453
20,75,2.2,0.4,54.3046357615894,246,453
20,75,2.37,0.4,54.3046357615894,246,453
20,75,2.5,0.4,54.3046357615894,246,453
20,75,2.5,0.5,54.3046357615894,246,453
20,100,2.2,0.4,54.3046357615894,246,453
25,50,1.8,0.6,54.3046357615894,246,453
25,50,2.0,0.4,54.3046357615894,246,453
25,50,2.2,0.8,54.3046357615894,246,453
25,50,2.37,0.7,54.3046357615894,246,453
25,50,2.5,0.8,54.3046357615894,246,453
25,75,1.8,0.7,54.3046357615894,246,453
25,75,2.2,0.4,54.3046357615894,246,453
25,100,2.0,0.4,54.3046357615894,246,453
25,100,2.2,0.4,54.3046357615894,246,453
25,125,2.5,0.4,54.3046357615894,246,453
25,150,2.37,0.4,54.3046357615894,246,453
30,50,2.2,0.4,54.3046357615894,246,453
30,50,2.37,0.4,54.3046357615894,246,453
30,50,2.5,0.4,54.3046357615894,246,453
30,75,2.0,0.4,54.3046357615894,246,453
30,75,2.2,0.4,54.3046357615894,246,453
30,75,2.2,0.7,54.3046357615894,246,453
30,100,1.8,0.5,54.3046357615894,246,453
30,125,1.8,0.4,54.3046357615894,246,453
35,50,2.37,0.7,54.3046357615894,246,453
35,50,2.5,0.4,54.3046357615894,246,453
35,125,1.8,0.4,54.3046357615894,246,453
35,125,2.37,0.4,54.3046357615894,246,453
35,125,2.5,0.4,54.3046357615894,246,453
35,150,2.0,0.4,54.3046357615894,246,453
40,50,2.0,0.4,54.3046357615894,246,453
40,50,2.2,0.4,54.3046357615894,246,453
40,100,2.37,0.6,54.3046357615894,246,453
40,100,2.5,0.6,54.3046357615894,246,453
40,125,2.0,0.4,54.3046357615894,246,453
15,50,1.8,0.4,54.083885209713024,245,453
15,50,2.0,0.6,54.083885209713024,245,453
15,50,2.0,0.7,54.083885209713024,245,453
15,50,2.2,0.6,54.083885209713024,245,453
15,50,2.2,0.7,54.083885209713024,245,453
15,50,2.37,0.6,54.083885209713024,245,453
15,50,2.37,0.7,54.083885209713024,245,453
15,50,2.5,0.7,54.083885209713024,245,453
15,100,1.8,0.5,54.083885209713024,245,453
15,100,2.2,0.5,54.083885209713024,245,453
15,125,2.5,0.4,54.083885209713024,245,453
20,50,1.8,0.4,54.083885209713024,245,453
20,50,1.8,0.5,54.083885209713024,245,453
20,50,2.37,0.7,54.083885209713024,245,453
20,50,2.37,0.8,54.083885209713024,245,453
20,50,2.5,0.7,54.083885209713024,245,453
20,75,1.8,0.5,54.083885209713024,245,453
20,75,1.8,0.7,54.083885209713024,245,453
20,75,2.0,0.7,54.083885209713024,245,453
20,75,2.2,0.5,54.083885209713024,245,453
20,75,2.37,0.5,54.083885209713024,245,453
20,75,2.5,0.8,54.083885209713024,245,453
20,100,2.0,0.5,54.083885209713024,245,453
20,100,2.2,0.5,54.083885209713024,245,453
20,125,1.8,0.5,54.083885209713024,245,453
20,125,2.5,0.5,54.083885209713024,245,453
20,150,2.37,0.4,54.083885209713024,245,453
25,50,1.8,0.4,54.083885209713024,245,453
25,50,2.0,0.6,54.083885209713024,245,453
25,50,2.37,0.8,54.083885209713024,245,453
25,75,2.0,0.7,54.083885209713024,245,453
25,75,2.2,0.7,54.083885209713024,245,453
25,75,2.37,0.4,54.083885209713024,245,453
25,75,2.5,0.4,54.083885209713024,245,453
25,100,2.37,0.5,54.083885209713024,245,453
25,100,2.5,0.6,54.083885209713024,245,453
25,125,2.37,0.5,54.083885209713024,245,453
25,125,2.5,0.5,54.083885209713024,245,453
25,150,2.0,0.4,54.083885209713024,245,453
25,150,2.2,0.4,54.083885209713024,245,453
25,150,2.37,0.6,54.083885209713024,245,453
30,50,2.0,0.4,54.083885209713024,245,453
30,75,2.37,0.4,54.083885209713024,245,453
30,75,2.5,0.4,54.083885209713024,245,453
30,100,2.0,0.5,54.083885209713024,245,453
30,100,2.2,0.5,54.083885209713024,245,453
30,100,2.37,0.5,54.083885209713024,245,453
30,100,2.5,0.5,54.083885209713024,245,453
30,125,2.0,0.4,54.083885209713024,245,453
30,125,2.2,0.4,54.083885209713024,245,453
30,125,2.2,0.5,54.083885209713024,245,453
30,125,2.37,0.4,54.083885209713024,245,453
30,150,2.0,0.4,54.083885209713024,245,453
30,150,2.2,0.4,54.083885209713024,245,453
30,150,2.37,0.4,54.083885209713024,245,453
35,50,1.8,0.6,54.083885209713024,245,453
35,50,2.0,0.4,54.083885209713024,245,453
35,50,2.0,0.6,54.083885209713024,245,453
35,50,2.2,0.4,54.083885209713024,245,453
35,50,2.2,0.6,54.083885209713024,245,453
35,50,2.37,0.4,54.083885209713024,245,453
35,50,2.37,0.6,54.083885209713024,245,453
35,75,1.8,0.4,54.083885209713024,245,453
35,75,2.0,0.7,54.083885209713024,245,453
35,75,2.2,0.4,54.083885209713024,245,453
35,75,2.5,0.4,54.083885209713024,245,453
35,100,2.37,0.6,54.083885209713024,245,453
35,100,2.5,0.6,54.083885209713024,245,453
35,125,2.0,0.4,54.083885209713024,245,453
40,50,2.37,0.4,54.083885209713024,245,453
40,50,2.5,0.4,54.083885209713024,245,453
40,50,2.5,0.6,54.083885209713024,245,453
40,75,2.0,0.7,54.083885209713024,245,453
40,75,2.2,0.4,54.083885209713024,245,453
40,75,2.2,0.7,54.083885209713024,245,453
40,75,2.37,0.4,54.083885209713024,245,453
40,75,2.5,0.4,54.083885209713024,245,453
40,100,2.2,0.6,54.083885209713024,245,453
40,125,1.8,0.4,54.083885209713024,245,453
40,150,1.8,0.4,54.083885209713024,245,453
40,150,2.37,0.4,54.083885209713024,245,453
15,50,1.8,0.6,53.86313465783664,244,453
15,50,1.8,0.8,53.86313465783664,244,453
15,50,2.0,0.8,53.86313465783664,244,453
15,50,2.2,0.8,53.86313465783664,244,453
15,50,2.37,0.8,53.86313465783664,244,453
15,50,2.5,0.8,53.86313465783664,244,453
15,75,1.8,0.6,53.86313465783664,244,453
15,100,2.37,0.5,53.86313465783664,244,453
15,125,2.2,0.4,53.86313465783664,244,453
15,125,2.37,0.4,53.86313465783664,244,453
20,50,1.8,0.8,53.86313465783664,244,453
20,50,2.2,0.8,53.86313465783664,244,453
20,75,2.0,0.5,53.86313465783664,244,453
20,75,2.37,0.7,53.86313465783664,244,453
20,75,2.37,0.8,53.86313465783664,244,453
20,100,1.8,0.5,53.86313465783664,244,453
20,100,1.8,0.6,53.86313465783664,244,453
20,100,2.37,0.5,53.86313465783664,244,453
20,125,2.2,0.4,53.86313465783664,244,453
20,150,1.8,0.4,53.86313465783664,244,453
20,150,2.0,0.4,53.86313465783664,244,453
20,150,2.2,0.4,53.86313465783664,244,453
20,150,2.5,0.4,53.86313465783664,244,453
25,50,2.2,0.6,53.86313465783664,244,453
25,50,2.37,0.6,53.86313465783664,244,453
25,50,2.5,0.6,53.86313465783664,244,453
25,100,1.8,0.6,53.86313465783664,244,453
25,100,2.2,0.6,53.86313465783664,244,453
25,100,2.37,0.6,53.86313465783664,244,453
25,100,2.5,0.5,53.86313465783664,244,453
25,125,2.0,0.7,53.86313465783664,244,453
25,150,2.5,0.5,53.86313465783664,244,453
30,50,2.37,0.6,53.86313465783664,244,453
30,50,2.5,0.6,53.86313465783664,244,453
30,75,1.8,0.7,53.86313465783664,244,453
30,75,2.0,0.7,53.86313465783664,244,453
30,75,2.0,0.8,53.86313465783664,244,453
30,75,2.2,0.8,53.86313465783664,244,453
30,75,2.37,0.8,53.86313465783664,244,453
30,75,2.5,0.8,53.86313465783664,244,453
30,100,2.37,0.6,53.86313465783664,244,453
30,100,2.5,0.6,53.86313465783664,244,453
30,125,2.0,0.5,53.86313465783664,244,453
30,125,2.37,0.5,53.86313465783664,244,453
30,125,2.5,0.4,53.86313465783664,244,453
30,125,2.5,0.5,53.86313465783664,244,453
35,50,2.2,0.5,53.86313465783664,244,453
35,75,1.8,0.7,53.86313465783664,244,453
35,75,2.0,0.4,53.86313465783664,244,453
35,75,2.37,0.4,53.86313465783664,244,453
35,125,2.2,0.5,53.86313465783664,244,453
40,50,1.8,0.4,53.86313465783664,244,453
40,50,1.8,0.5,53.86313465783664,244,453
40,50,2.2,0.5,53.86313465783664,244,453
40,75,1.8,0.4,53.86313465783664,244,453
40,75,1.8,0.7,53.86313465783664,244,453
40,75,2.0,0.8,53.86313465783664,244,453
40,75,2.2,0.8,53.86313465783664,244,453
40,100,1.8,0.6,53.86313465783664,244,453
40,150,2.0,0.4,53.86313465783664,244,453
40,150,2.5,0.4,53.86313465783664,244,453
15,75,1.8,0.7,53.64238410596026,243,453
15,75,2.0,0.7,53.64238410596026,243,453
15,75,2.37,0.7,53.64238410596026,243,453
15,75,2.5,0.7,53.64238410596026,243,453
15,100,2.5,0.5,53.64238410596026,243,453
15,150,1.8,0.4,53.64238410596026,243,453
15,150,2.2,0.4,53.64238410596026,243,453
15,150,2.37,0.4,53.64238410596026,243,453
15,150,2.5,0.4,53.64238410596026,243,453
20,75,2.2,0.7,53.64238410596026,243,453
20,75,2.2,0.8,53.64238410596026,243,453
20,75,2.5,0.7,53.64238410596026,243,453
20,100,2.5,0.5,53.64238410596026,243,453
20,125,1.8,0.6,53.64238410596026,243,453
20,125,2.0,0.5,53.64238410596026,243,453
20,125,2.37,0.4,53.64238410596026,243,453
20,125,2.37,0.5,53.64238410596026,243,453
20,125,2.5,0.4,53.64238410596026,243,453
25,75,2.0,0.8,53.64238410596026,243,453
25,75,2.5,0.8,53.64238410596026,243,453
25,100,2.0,0.6,53.64238410596026,243,453
25,125,1.8,0.7,53.64238410596026,243,453
25,125,2.2,0.5,53.64238410596026,243,453
25,125,2.2,0.7,53.64238410596026,243,453
25,125,2.37,0.7,53.64238410596026,243,453
25,150,1.8,0.4,53.64238410596026,243,453
25,150,2.5,0.4,53.64238410596026,243,453
25,150,2.5,0.6,53.64238410596026,243,453
30,50,1.8,0.4,53.64238410596026,243,453
30,50,1.8,0.5,53.64238410596026,243,453
30,50,2.2,0.5,53.64238410596026,243,453
30,75,1.8,0.8,53.64238410596026,243,453
30,100,2.2,0.6,53.64238410596026,243,453
30,125,1.8,0.5,53.64238410596026,243,453
30,150,2.5,0.4,53.64238410596026,243,453
35,50,1.8,0.4,53.64238410596026,243,453
35,50,1.8,0.5,53.64238410596026,243,453
35,50,2.37,0.5,53.64238410596026,243,453
35,50,2.5,0.5,53.64238410596026,243,453
35,50,2.5,0.6,53.64238410596026,243,453
35,100,2.2,0.6,53.64238410596026,243,453
35,125,1.8,0.5,53.64238410596026,243,453
35,125,2.37,0.5,53.64238410596026,243,453
35,125,2.5,0.5,53.64238410596026,243,453
35,150,2.2,0.5,53.64238410596026,243,453
35,150,2.5,0.5,53.64238410596026,243,453
40,50,2.0,0.5,53.64238410596026,243,453
40,50,2.37,0.5,53.64238410596026,243,453
40,50,2.5,0.5,53.64238410596026,243,453
40,75,1.8,0.8,53.64238410596026,243,453
40,75,2.0,0.4,53.64238410596026,243,453
40,75,2.37,0.8,53.64238410596026,243,453
40,100,2.0,0.6,53.64238410596026,243,453
40,125,2.2,0.5,53.64238410596026,243,453
40,125,2.37,0.5,53.64238410596026,243,453
40,125,2.5,0.5,53.64238410596026,243,453
40,150,2.2,0.6,53.64238410596026,243,453
40,150,2.37,0.6,53.64238410596026,243,453
15,75,2.2,0.6,53.42163355408388,242,453
15,75,2.2,0.7,53.42163355408388,242,453
15,75,2.37,0.6,53.42163355408388,242,453
15,75,2.5,0.6,53.42163355408388,242,453
15,100,2.0,0.6,53.42163355408388,242,453
15,100,2.2,0.6,53.42163355408388,242,453
15,100,2.37,0.6,53.42163355408388,242,453
15,125,2.37,0.5,53.42163355408388,242,453
15,125,2.5,0.5,53.42163355408388,242,453
15,150,2.0,0.4,53.42163355408388,242,453
20,100,2.0,0.6,53.42163355408388,242,453
20,100,2.37,0.6,53.42163355408388,242,453
20,100,2.37,0.8,53.42163355408388,242,453
20,100,2.5,0.6,53.42163355408388,242,453
20,100,2.5,0.8,53.42163355408388,242,453
20,125,2.2,0.5,53.42163355408388,242,453
20,125,2.2,0.7,53.42163355408388,242,453
25,50,1.8,0.5,53.42163355408388,242,453
25,50,2.0,0.5,53.42163355408388,242,453
25,50,2.5,0.5,53.42163355408388,242,453
25,75,1.8,0.8,53.42163355408388,242,453
25,75,2.2,0.8,53.42163355408388,242,453
25,75,2.37,0.8,53.42163355408388,242,453
25,100,1.8,0.8,53.42163355408388,242,453
25,125,1.8,0.5,53.42163355408388,242,453
25,125,2.0,0.5,53.42163355408388,242,453
25,125,2.5,0.7,53.42163355408388,242,453
25,150,2.2,0.6,53.42163355408388,242,453
30,50,2.0,0.5,53.42163355408388,242,453
30,50,2.37,0.5,53.42163355408388,242,453
30,50,2.5,0.5,53.42163355408388,242,453
30,100,2.0,0.6,53.42163355408388,242,453
30,100,2.0,0.7,53.42163355408388,242,453
30,100,2.5,0.7,53.42163355408388,242,453
30,125,1.8,0.6,53.42163355408388,242,453
30,125,2.0,0.6,53.42163355408388,242,453
30,150,1.8,0.4,53.42163355408388,242,453
30,150,1.8,0.6,53.42163355408388,242,453
30,150,2.0,0.6,53.42163355408388,242,453
35,50,2.0,0.5,53.42163355408388,242,453
35,75,1.8,0.8,53.42163355408388,242,453
35,75,2.0,0.8,53.42163355408388,242,453
35,75,2.2,0.8,53.42163355408388,242,453
35,75,2.5,0.8,53.42163355408388,242,453
35,125,1.8,0.6,53.42163355408388,242,453
35,125,2.0,0.5,53.42163355408388,242,453
35,125,2.0,0.6,53.42163355408388,242,453
35,150,2.37,0.5,53.42163355408388,242,453
40,75,2.5,0.8,53.42163355408388,242,453
40,150,2.5,0.5,53.42163355408388,242,453
15,75,2.2,0.8,53.20088300220751,241,453
15,75,2.37,0.8,53.20088300220751,241,453
15,75,2.5,0.8,53.20088300220751,241,453
15,125,2.0,0.5,53.20088300220751,241,453
15,125,2.2,0.5,53.20088300220751,241,453
20,75,1.8,0.8,53.20088300220751,241,453
20,75,2.0,0.8,53.20088300220751,241,453
20,100,1.8,0.7,53.20088300220751,241,453
20,100,2.0,0.8,53.20088300220751,241,453
20,100,2.2,0.6,53.20088300220751,241,453
20,100,2.2,0.7,53.20088300220751,241,453
20,100,2.5,0.7,53.20088300220751,241,453
20,125,2.0,0.4,53.20088300220751,241,453
20,150,2.2,0.5,53.20088300220751,241,453
20,150,2.37,0.5,53.20088300220751,241,453
20,150,2.5,0.5,53.20088300220751,241,453
25,50,2.2,0.5,53.20088300220751,241,453
25,50,2.37,0.5,53.20088300220751,241,453
25,100,2.0,0.8,53.20088300220751,241,453
25,100,2.37,0.7,53.20088300220751,241,453
25,100,2.5,0.7,53.20088300220751,241,453
25,125,2.2,0.6,53.20088300220751,241,453
25,150,1.8,0.6,53.20088300220751,241,453
25,150,2.0,0.6,53.20088300220751,241,453
25,150,2.2,0.5,53.20088300220751,241,453
25,150,2.37,0.5,53.20088300220751,241,453
30,100,2.37,0.7,53.20088300220751,241,453
30,125,2.2,0.6,53.20088300220751,241,453
30,150,1.8,0.5,53.20088300220751,241,453
30,150,2.2,0.6,53.20088300220751,241,453
30,150,2.37,0.6,53.20088300220751,241,453
35,75,2.37,0.8,53.20088300220751,241,453
35,100,1.8,0.6,53.20088300220751,241,453
35,100,2.0,0.6,53.20088300220751,241,453
35,125,2.2,0.7,53.20088300220751,241,453
35,125,2.37,0.7,53.20088300220751,241,453
35,125,2.5,0.7,53.20088300220751,241,453
35,150,1.8,0.5,53.20088300220751,241,453
35,150,2.0,0.5,53.20088300220751,241,453
40,100,1.8,0.7,53.20088300220751,241,453
40,125,2.0,0.5,53.20088300220751,241,453
40,125,2.37,0.6,53.20088300220751,241,453
40,125,2.5,0.7,53.20088300220751,241,453
40,150,2.0,0.6,53.20088300220751,241,453
40,150,2.2,0.4,53.20088300220751,241,453
40,150,2.5,0.6,53.20088300220751,241,453
15,75,2.0,0.8,52.980132450331126,240,453
15,100,1.8,0.6,52.980132450331126,240,453
15,100,1.8,0.7,52.980132450331126,240,453
15,100,2.2,0.7,52.980132450331126,240,453
15,100,2.5,0.6,52.980132450331126,240,453
15,125,1.8,0.5,52.980132450331126,240,453
15,125,2.0,0.6,52.980132450331126,240,453
15,125,2.2,0.6,52.980132450331126,240,453
20,100,2.0,0.7,52.980132450331126,240,453
20,100,2.37,0.7,52.980132450331126,240,453
20,125,2.2,0.6,52.980132450331126,240,453
20,125,2.37,0.6,52.980132450331126,240,453
20,125,2.37,0.7,52.980132450331126,240,453
20,125,2.5,0.7,52.980132450331126,240,453
20,150,1.8,0.5,52.980132450331126,240,453
20,150,2.0,0.5,52.980132450331126,240,453
20,150,2.5,0.6,52.980132450331126,240,453
25,100,2.2,0.7,52.980132450331126,240,453
25,100,2.2,0.8,52.980132450331126,240,453
25,100,2.37,0.8,52.980132450331126,240,453
25,150,2.0,0.5,52.980132450331126,240,453
30,100,1.8,0.6,52.980132450331126,240,453
30,100,1.8,0.7,52.980132450331126,240,453
30,100,2.2,0.7,52.980132450331126,240,453
30,125,2.0,0.7,52.980132450331126,240,453
30,125,2.37,0.6,52.980132450331126,240,453
30,125,2.5,0.6,52.980132450331126,240,453
